Species,Lifestyle,Accession number,Host species,Label
Pseudomonas phage PPpW-3,Temperate,NC_023006,Pseudomonas plecoglossicida,0
Cyanophage PSS2,Temperate,NC_013021,Prochlorococcus marinus,0
Staphylococcus virus 108PVL,Temperate,NC_008689,Staphylococcus aureus,0
Mycobacterium phage Quink,Temperate,NC_022330,Mycolicibacterium smegmatis,0
Rhodobacter phage RC1,Temperate,NC_020839,NA,0
Rhodobacter phage RcapNL,Temperate,NC_020489,Rhodobacter capsulatus,0
Roseobacter virus RDJL1,Temperate,NC_015466,Roseobacter denitrificans,0
Salmonella virus RE2010,Temperate,NC_019488,Salmonella enterica,0
Rhodovulum phage RS1,Temperate,NC_020866,NA,0
Ralstonia virus RSA1,Temperate,NC_009382,Ralstonia solanacearum,0
Stenotrophomonas phage S1,Temperate,NC_011589,Stenotrophomonas maltophilia,0
Staphylococcus phage SA12,Temperate,NC_021801,Staphylococcus aureus,0
Staphylococcus phage SA13,Temperate,NC_021863,Staphylococcus aureus,0
Staphylococcus virus SAP26,Temperate,NC_014460,Staphylococcus aureus,0
Salmonella virus SE1Spa,Temperate,NC_011802,Salmonella enterica,0
Shigella phage SfII,Temperate,NC_021857,NA,0
Shigella phage SfIV,Temperate,NC_022749,Shigella flexneri,0
Lactobacillus phage Sha1,Temperate,NC_019489,Lactobacillus sp.,0
Streptococcus phage SMP,Temperate,NC_008721,Streptococcus suis,0
Staphylococcus phage SMSAP5,Temperate,NC_019513,Staphylococcus aureus,0
Staphylococcus phage SpaA1,Temperate,NC_018277,Staphylococcus pasteuri,0
Salmonella virus SPN1S,Temperate,NC_016761,Salmonella enterica,0
Salmonella phage SPN3UB,Temperate,NC_019545,Salmonella enterica,0
Salmonella phage SPN9CC,Temperate,NC_017985,Salmonella sp.,0
Prochlorococcus virus SS120-1,Temperate,NC_020872,Prochlorococcus marinus,0
Salmonella phage ST160,Temperate,NC_014900,Salmonella enterica,0
Bacillus virus Staley,Temperate,NC_022767,Priestia megaterium,0
Staphylococcus phage StauST398-1,Temperate,NC_021326,Staphylococcus aureus,0
Staphylococcus phage StauST398-2,Temperate,NC_021323,Staphylococcus aureus,0
Staphylococcus phage StauST398-3,Temperate,NC_021332,Staphylococcus aureus,0
Staphylococcus phage StB12,Temperate,NC_020490,Staphylococcus hominis,0
Staphylococcus phage StB20,Temperate,NC_019915,Staphylococcus capitis,0
Staphylococcus phage StB27,Temperate,NC_019914,Staphylococcus hominis,0
Mycobacterium virus SWU1,Temperate,NC_017973,Mycolicibacterium smegmatis,0
Synechococcus virus Syn5,Temperate,NC_009531,Synechococcus sp. WH 8109,0
Staphylococcus phage TEM123,Temperate,NC_017968,Staphylococcus aureus,0
Thermoanaerobacterium phage THSA-485A,Temperate,NC_018264,Thermoanaerobacterium saccharolyticum,0
Escherichia phage TL-2011b,Temperate,NC_019445,Escherichia coli,0
Streptococcus phage TP-778L,Temperate,NC_022776,Streptococcus thermophilus,0
Streptococcus phage TP-J34,Temperate,NC_020197,Streptococcus thermophilus,0
Bacillus virus TP21,Temperate,NC_011645,Bacillus cereus,0
Staphylococcus phage tp310-1,Temperate,NC_009761,Staphylococcus aureus,0
Staphylococcus phage tp310-2,Temperate,NC_009762,Staphylococcus aureus,0
Staphylococcus phage tp310-3,Temperate,NC_009763,Staphylococcus aureus,0
Lactococcus phage ul36,Temperate,NC_004066,Lactococcus lactis,0
Bacillus phage vB_BanS-Tsamsa,Temperate,NC_023007,Bacillus anthracis,0
Clostridium phage vB_CpeS-CP51,Temperate,NC_021325,Clostridium perfringens,0
Cronobacter phage vB_CsaP_GAP52,Temperate,NC_019402,Cronobacter sakazakii,0
Salmonella phage vB_SemP_Emek,Temperate,NC_018275,NA,0
Salmonella phage vB_SosS_Oslo,Temperate,NC_018279,NA,0
Vibrio virus MAR,Temperate,NC_019722,Vibrio parahaemolyticus,0
Vibrio virus VP585,Temperate,NC_027981,Vibrio parahaemolyticus,0
Vibrio virus VP882,Temperate,NC_009016,Vibrio parahaemolyticus,0
Vibrio phage VPUSM 8,Temperate,NC_022747,Vibrio cholerae,0
Mycobacterium phage WIVsmall,Temperate,NC_021334,Mycolicibacterium smegmatis,0
Xylella phage Xfas53,Temperate,NC_013599,Xylella fastidiosa,0
Xanthomonas phage Xp15,Temperate,NC_007024,Xanthomonas campestris,0
Staphylococcus phage YMC/09/04/R1988,Temperate,NC_022758,Staphylococcus aureus,0
Streptococcus phage YMC-2011,Temperate,NC_018285,Streptococcus salivarius,0
Pseudomonas virus Yua,Temperate,NC_010116,Pseudomonas aeruginosa,0
Enterobacteria phage YYZ-2008,Temperate,NC_011356,Escherichia coli,0
Pectobacterium phage ZF40,Temperate,NC_019522,Pectobacterium carotovorum,0
Escherichia virus 172-1,Temperate,NC_028903,Escherichia coli,0
Streptococcus phage 20617,Temperate,NC_023503,Streptococcus thermophilus,0
Staphylococcus phage 23MRA,Temperate,NC_028775,Staphylococcus aureus,0
Staphylococcus phage 3MRA,Temperate,NC_028917,Staphylococcus aureus,0
Staphylococcus virus Sextaec,Temperate,NC_024355,Staphylococcus epidermidis,0
Shigella virus 7502Stx,Temperate,NC_029120,Shigella sonnei,0
Achromobacter virus 83-24,Temperate,NC_028834,Achromobacter xylosoxidans,0
Brevibacillus virus Abouo,Temperate,NC_029029,Brevibacillus laterosporus,0
Mycobacterium phage Adler,Temperate,NC_023591,Mycobacteroides abscessus,0
Aurantimonas phage AmM-1,Temperate,NC_027334,Aurantimonas sp. C5-1,0
Staphylococcus phage B166,Temperate,NC_028859,Staphylococcus aureus,0
Staphylococcus phage B236,Temperate,NC_028915,Staphylococcus aureus,0
Bacillus phage BM5,Temperate,NC_029069,NA,0
Bacillus phage vB_BtS_BMBtp3,Temperate,NC_028748,Bacillus thuringiensis,0
Clostridium phage CDMH1,Temperate,NC_024144,Clostridioides difficile,0
Caulobacter phage Cr30,Temperate,NC_025422,Caulobacter vibrioides,0
Brevibacillus virus Davies,Temperate,NC_022980,Brevibacillus laterosporus,0
Streptococcus phage DCC1738,Temperate,NC_024361,Streptococcus pneumoniae,0
Ruegeria phage DSS3-P1,Temperate,NC_025428,Ruegeria pomeroyi,0
Staphylococcus phage DW2,Temperate,NC_024391,Staphylococcus aureus,0
Geobacillus virus E3,Temperate,NC_029073,NA,0
Enterococcus phage EFC-1,Temperate,NC_025453,Enterococcus faecalis,0
Paenibacillus virus Willow,Temperate,NC_028851,Paenibacillus larvae,0
Edwardsiella virus GF2,Temperate,NC_026611,Edwardsiella tarda,0
Paenibacillus virus Hb10c2,Temperate,NC_028758,Paenibacillus larvae,0
Lactobacillus phage iA2,Temperate,NC_028830,Lacticaseibacillus paracasei,0
Streptococcus phage IC1,Temperate,NC_024370,Streptococcus pneumoniae,0
Lactobacillus phage iLp84,Temperate,NC_028783,Lacticaseibacillus paracasei,0
Staphylococcus phage IME-SA4,Temperate,NC_029025,Staphylococcus haemolyticus,0
Thermus virus IN93,Temperate,NC_004462,Thermus thermophilus,0
Vibrio phage J2,Temperate,NC_027393,Vibrio cholerae,0
Brevibacillus phage Jimmer1,Temperate,NC_029104,Brevibacillus laterosporus,0
Achromobacter virus JWX,Temperate,NC_028768,Achromobacter xylosoxidans,0
Streptococcus phage K13,Temperate,NC_024357,Streptococcus pneumoniae,0
Escherichia virus Septima11,Temperate,NC_023593,Escherichia coli,0
Lactobacillus virus LBR48,Temperate,NC_027990,Levilactobacillus brevis,0
Lactobacillus virus Ldl1,Temperate,NC_026609,Lactobacillus delbrueckii,0
Listeria phage LP-030-3,Temperate,NC_024384,Listeria monocytogenes,0
Listeria phage LP-101,Temperate,NC_024387,Listeria monocytogenes,0
Sulfitobacter phage NYA-2014a,Temperate,NC_027299,Sulfitobacter sp. CB2047,0
Brevibacillus virus Osiris,Temperate,NC_028969,Brevibacillus laterosporus,0
Enterobacteria phage P88,Temperate,NC_026014,Escherichia coli,0
Escherichia virus PA2,Temperate,NC_028449,Escherichia coli,0
Pseudomonas virus PAE1,Temperate,NC_028980,Pseudomonas aeruginosa,0
Pseudomonas virus PaMx11,Temperate,NC_028770,Pseudomonas aeruginosa,0
Lactobacillus phage phi jlb1,Temperate,NC_024206,Lactobacillus gasseri,0
Escherichia virus 191,Temperate,NC_028660,Escherichia coli,0
Bacillus phage phi4B1,Temperate,NC_028886,Bacillus cereus,0
Bacillus phage phi4J1,Temperate,NC_029008,Bacillus cereus,0
Enterobacteria phage phi80,Temperate,NC_021190,Escherichia coli,0
Oenococcus phage phi9805,Temperate,NC_023559,Oenococcus oeni,0
Staphylococcus phage phiBU01,Temperate,NC_026016,Staphylococcus aureus,0
Clostridium phage phiCD111,Temperate,NC_028905,Clostridioides difficile,0
Clostridium phage phiCD146,Temperate,NC_028958,Clostridioides difficile,0
Clostridium phage phiCD211,Temperate,NC_029048,Clostridioides difficile,0
Clostridium phage phiCD481-1,Temperate,NC_028951,Clostridioides difficile,0
Clostridium phage phiCD505,Temperate,NC_028764,Clostridioides difficile,0
Clostridium phage phiCD506,Temperate,NC_028838,Clostridioides difficile,0
Clostridium phage phiCDHM11,Temperate,NC_029001,NA,0
Clostridium phage phiCDHM13,Temperate,NC_029116,Clostridioides difficile,0
Clostridium phage phiCDHM19,Temperate,NC_028996,NA,0
Bacillus phage phiCM3,Temperate,NC_023599,Bacillus thuringiensis,0
Clostridium phage phiCT9441A,Temperate,NC_029022,Clostridium tetani,0
Lactobacillus phage phiJB,Temperate,NC_022775,Lactobacillus delbrueckii,0
Staphylococcus phage phiJB,Temperate,NC_028669,Staphylococcus aureus,0
Lactococcus phage phiL47,Temperate,NC_023574,Lactococcus lactis,0
Sinorhizobium phage phiLM21,Temperate,NC_029046,Sinorhizobium sp. LM21,0
Clostridium phage phiMMP01,Temperate,NC_028883,Clostridioides difficile,0
Clostridium phage phiMMP03,Temperate,NC_028959,Clostridioides difficile,0
Staphylococcus virus phiNM2,Temperate,NC_028913,NA,0
Staphylococcus virus phiNM4,Temperate,NC_028864,NA,0
Pseudomonas phage phiPSA1,Temperate,NC_024365,Pseudomonas syringae,0
Lactobacillus phage phiPYB5,Temperate,NC_027982,Limosilactobacillus fermentum,0
Oenococcus phage phiS11,Temperate,NC_023571,Oenococcus oeni,0
Oenococcus phage phiS13,Temperate,NC_023560,Oenococcus oeni,0
Staphylococcus phage phiSa119,Temperate,NC_025460,Staphylococcus aureus,0
Vibrio virus VC8,Temperate,NC_027118,Vibrio cholerae,0
Shigella virus POCJ13,Temperate,NC_025434,Shigella flexneri,0
Escherichia virus pro147,Temperate,NC_028896,Escherichia coli,0
Escherichia virus pro483,Temperate,NC_028943,Escherichia coli,0
Pseudomonas phage PS-1,Temperate,NC_029066,Pseudomonas sp. 1-1-1b,0
Psychrobacter phage Psymv2,Temperate,NC_023734,Psychrobacter sp. MV2,0
Vibrio phage QH,Temperate,NC_027397,Vibrio cholerae,0
Paenibacillus virus Rani,Temperate,NC_029084,Paenibacillus larvae,0
Rhodobacter virus RcCronus,Temperate,NC_028954,Rhodobacter capsulatus,0
Ralstonia phage RS138,Temperate,NC_029107,Ralstonia solanacearum,0
Ralstonia virus RSY1,Temperate,NC_025115,Ralstonia solanacearum,0
Synechococcus phage S-CBP1,Temperate,NC_025456,Synechococcus sp. CB0101,0
Synechococcus virus SCBP2,Temperate,NC_025455,Synechococcus sp. CB0208,0
Synechococcus virus SCBP3,Temperate,NC_025461,Synechococcus sp. CB0101,0
Synechococcus virus SCBP42,Temperate,NC_029031,Synechococcus sp. WH 7803,0
Aggregatibacter phage S1249,Temperate,NC_013597,Aggregatibacter actinomycetemcomitans,0
Staphylococcus phage SA97,Temperate,NC_029010,Staphylococcus aureus,0
Erysipelothrix phage SE-1,Temperate,NC_029078,Erysipelothrix rhusiopathiae,0
Salmonella virus SEN1,Temperate,NC_029003,Salmonella enterica,0
Salmonella phage SEN22,Temperate,NC_028696,Salmonella enterica,0
Salmonella virus SEN34,Temperate,NC_028699,Salmonella enterica,0
Salmonella virus SEN4,Temperate,NC_029015,Salmonella enterica,0
Salmonella phage SEN5,Temperate,NC_028701,Salmonella enterica,0
Enterobacteria phage Sf101,Temperate,NC_027398,Shigella flexneri,0
Streptomyces phage SF3,Temperate,NC_028952,Streptomyces flavovirens,0
Enterobacteria phage SfI,Temperate,NC_027339,Shigella flexneri,0
Paenibacillus virus Sitara,Temperate,NC_028854,Paenibacillus larvae,0
Bacillus virus Slash,Temperate,NC_022774,Priestia megaterium,0
Stenotrophomonas virus Smp131,Temperate,NC_023588,Stenotrophomonas maltophilia,0
Staphylococcus phage SPbeta-like,Temperate,NC_029119,Staphylococcus epidermidis,0
Streptococcus phage SpSL1,Temperate,NC_027396,Streptococcus pneumoniae,0
Shigella virus VASD,Temperate,NC_028685,Shigella sonnei,0
Staphylococcus phage StauST398-4,Temperate,NC_023499,Staphylococcus aureus,0
Staphylococcus phage StauST398-5,Temperate,NC_023500,Staphylococcus aureus,0
Streptococcus phage T12,Temperate,NC_028700,Streptococcus pyogenes,0
Paenibacillus virus Tripp,Temperate,NC_028930,Paenibacillus larvae,0
Escherichia virus 24B,Temperate,NC_027984,Escherichia coli,0
Escherichia virus SU10,Temperate,NC_027395,Escherichia coli,0
Enterococcus phage vB_EfaS_IME197,Temperate,NC_028671,Enterococcus faecalis,0
Listeria phage vB_LmoS_188,Temperate,NC_028871,Listeria monocytogenes,0
Listeria phage vB_LmoS_293,Temperate,NC_028929,Listeria monocytogenes,0
Mannheimia phage vB_MhM_587AP1,Temperate,NC_028898,Mannheimia haemolytica,0
Mannheimia phage vB_MhS_1152AP2,Temperate,NC_028956,Mannheimia haemolytica,0
Mannheimia phage vB_MhS_535AP2,Temperate,NC_028853,Mannheimia haemolytica,0
Mannheimia phage vB_MhS_587AP2,Temperate,NC_028743,Mannheimia haemolytica,0
Mesorhizobium virus Lo5R7ANS,Temperate,NC_025431,Mesorhizobium loti,0
Pseudomonas phage vB_PaeP_Tr60_Ab31,Temperate,NC_023575,Pseudomonas aeruginosa,0
Pseudomonas virus Ab18,Temperate,NC_026594,Pseudomonas aeruginosa,0
Rhizobium phage vB_RleM_PPF1,Temperate,NC_025427,Rhizobium leguminosarum,0
Staphylococcus phage vB_SauS_phi2,Temperate,NC_028862,Staphylococcus aureus,0
Staphylococcus virus SEP9,Temperate,NC_023582,Staphylococcus epidermidis,0
Paenibacillus virus Vegas,Temperate,NC_028767,Paenibacillus larvae,0
Enterobacteria phage VT2phi_272,Temperate,NC_028656,Escherichia coli,0
Bacillus phage Waukesha92,Temperate,NC_025424,Bacillus thuringiensis,0
Lactococcus phage WRP3,Temperate,NC_027341,Lactococcus lactis,0
Vibrio phage X29,Temperate,NC_024369,Vibrio cholerae,0
Pseudomonas phage YMC11/02/R656,Temperate,NC_028657,Pseudomonas aeruginosa,0
Acinetobacter virus R3177,Temperate,NC_041866,Acinetobacter sp.,0
Arthrobacter virus Galaxy,Temperate,NC_041876,Arthrobacter sp. ATCC 21022,0
Arthrobacter virus Abidatro,Temperate,NC_042002,Arthrobacter sp. ATCC 21022,0
Corynebacterium virus Poushou,Temperate,NC_042139,Corynebacterium vitaeruminis,0
Mycobacterium virus Bask21,Temperate,NC_041846,Mycolicibacterium smegmatis,0
Mycobacterium virus Eureka,Temperate,NC_041850,Mycolicibacterium smegmatis,0
Mycobacterium virus Marcell,Temperate,NC_041853,Mycolicibacterium smegmatis,0
Mycobacterium virus Dorothy,Temperate,NC_041855,Mycolicibacterium smegmatis,0
Flavobacterium virus 23T,Temperate,NC_041859,Flavobacterium psychrophilum,0
Mycobacterium virus Skinnyp,Temperate,NC_041882,Mycolicibacterium smegmatis,0
Gordonia virus Attis,Temperate,NC_041883,Gordonia terrae,0
